point_index,dispersion_air_flow_L_min,air_speed_m_s,initial_slip_speed_m_s,weber_number,interfacial_shear_lower_Pa,dynamic_pressure_Pa,interfacial_shear_upper_Pa,interfacial_shear_shaded_lower_Pa,interfacial_shear_shaded_upper_Pa,relaxation_time_s,relaxation_time_ms,smoothstep_weight,regime,weber_transition_start,weber_transition_end,transition_flow_start_L_min,transition_flow_end_L_min,ohnesorge_number,droplet_diameter_m,air_aperture_diameter_m,surface_tension_N_m,air_density_kg_m3,air_viscosity_Pa_s,liquid_density_kg_m3,liquid_viscosity_Pa_s,drag_coefficient,skin_friction_coefficient,notes
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,inf,Inf,0.0,below transition,8.03402824191662,12.36004344910249,1.9779959018099933,245.3401966995445,0.09336403003974902,0.00019,0.001,0.05,1.2,1.8e-05,1000.0,0.0091,0.8,0.015,Exact numerical values generated from Figure_5.m. transition_flow_end_L_min preserves the source code's factor of 100 in Ua_crit_end.
2,0.02512562814070352,0.5331823889175724,0.5331823889175724,0.0012963325769244334,0.05051201579219107,0.17057007591110965,0.05051201579219107,,,0.4949317426342919,494.9317426342919,0.0,below transition,8.03402824191662,12.36004344910249,1.9779959018099933,245.3401966995445,0.09336403003974902,0.00019,0.001,0.05,1.2,1.8e-05,1000.0,0.0091,0.8,0.015,Exact numerical values generated from Figure_5.m. transition_flow_end_L_min preserves the source code's factor of 100 in Ua_crit_end.
3,0.05025125628140704,1.0663647778351448,1.0663647778351448,0.005185330307697734,0.10102403158438214,0.6822803036444386,0.10102403158438214,,,0.24746587131714595,247.46587131714594,0.0,below transition,8.03402824191662,12.36004344910249,1.9779959018099933,245.3401966995445,0.09336403003974902,0.00019,0.001,0.05,1.2,1.8e-05,1000.0,0.0091,0.8,0.015,Exact numerical values generated from Figure_5.m. transition_flow_end_L_min preserves the source code's factor of 100 in Ua_crit_end.
4,0.07537688442211056,1.5995471667527172,1.5995471667527172,0.0116669931923199,0.1515360473765732,1.535130683199987,0.1515360473765732,,,0.16497724754476398,164.97724754476397,0.0,below transition,8.03402824191662,12.36004344910249,1.9779959018099933,245.3401966995445,0.09336403003974902,0.00019,0.001,0.05,1.2,1.8e-05,1000.0,0.0091,0.8,0.015,Exact numerical values generated from Figure_5.m. transition_flow_end_L_min preserves the source code's factor of 100 in Ua_crit_end.
5,0.10050251256281408,2.1327295556702897,2.1327295556702897,0.020741321230790935,0.20204806316876428,2.7291212145777544,0.20204806316876428,,,0.12373293565857298,123.73293565857297,0.0,below transition,8.03402824191662,12.36004344910249,1.9779959018099933,245.3401966995445,0.09336403003974902,0.00019,0.001,0.05,1.2,1.8e-05,1000.0,0.0091,0.8,0.015,Exact numerical values generated from Figure_5.m. transition_flow_end_L_min preserves the source code's factor of 100 in Ua_crit_end.
6,0.1256281407035176,2.665911944587862,2.665911944587862,0.03240831442311084,0.25256007896095534,4.264251897777742,0.25256007896095534,,,0.09898634852685838,98.98634852685838,0.0,below transition,8.03402824191662,12.36004344910249,1.9779959018099933,245.3401966995445,0.09336403003974902,0.00019,0.001,0.05,1.2,1.8e-05,1000.0,0.0091,0.8,0.015,Exact numerical values generated from Figure_5.m. transition_flow_end_L_min preserves the source code's factor of 100 in Ua_crit_end.
7,0.15075376884422112,3.1990943335054345,3.1990943335054345,0.0466679727692796,0.3030720947531464,6.140522732799948,0.3030720947531464,,,0.08248862377238199,82.48862377238198,0.0,below transition,8.03402824191662,12.36004344910249,1.9779959018099933,245.3401966995445,0.09336403003974902,0.00019,0.001,0.05,1.2,1.8e-05,1000.0,0.0091,0.8,0.015,Exact numerical values generated from Figure_5.m. transition_flow_end_L_min preserves the source code's factor of 100 in Ua_crit_end.
8,0.17587939698492464,3.732276722423007,3.732276722423007,0.06352029626929723,0.35358411054533745,8.357933719644373,0.35358411054533745,,,0.07070453466204171,70.70453466204171,0.0,below transition,8.03402824191662,12.36004344910249,1.9779959018099933,245.3401966995445,0.09336403003974902,0.00019,0.001,0.05,1.2,1.8e-05,1000.0,0.0091,0.8,0.015,Exact numerical values generated from Figure_5.m. transition_flow_end_L_min preserves the source code's factor of 100 in Ua_crit_end.
9,0.20100502512562815,4.265459111340579,4.265459111340579,0.08296528492316374,0.40409612633752856,10.916484858311017,0.40409612633752856,,,0.06186646782928649,61.866467829286485,0.0,below transition,8.03402824191662,12.36004344910249,1.9779959018099933,245.3401966995445,0.09336403003974902,0.00019,0.001,0.05,1.2,1.8e-05,1000.0,0.0091,0.8,0.015,Exact numerical values generated from Figure_5.m. transition_flow_end_L_min preserves the source code's factor of 100 in Ua_crit_end.
10,0.22613065326633167,4.798641500258151,4.798641500258151,0.10500293873087908,0.45460814212971956,13.81617614879988,0.45460814212971956,,,0.054992415848254664,54.992415848254666,0.0,below transition,8.03402824191662,12.36004344910249,1.9779959018099933,245.3401966995445,0.09336403003974902,0.00019,0.001,0.05,1.2,1.8e-05,1000.0,0.0091,0.8,0.015,Exact numerical values generated from Figure_5.m. transition_flow_end_L_min preserves the source code's factor of 100 in Ua_crit_end.
11,0.2512562814070352,5.331823889175724,5.331823889175724,0.12963325769244335,0.5051201579219107,17.057007591110967,0.5051201579219107,,,0.04949317426342919,49.49317426342919,0.0,below transition,8.03402824191662,12.36004344910249,1.9779959018099933,245.3401966995445,0.09336403003974902,0.00019,0.001,0.05,1.2,1.8e-05,1000.0,0.0091,0.8,0.015,Exact numerical values generated from Figure_5.m. transition_flow_end_L_min preserves the source code's factor of 100 in Ua_crit_end.
12,0.2763819095477387,5.865006278093298,5.865006278093298,0.1568562418078565,0.5556321737141019,20.638979185244278,0.5556321737141019,,,0.04499379478493562,44.99379478493562,0.0,below transition,8.03402824191662,12.36004344910249,1.9779959018099933,245.3401966995445,0.09336403003974902,0.00019,0.001,0.05,1.2,1.8e-05,1000.0,0.0091,0.8,0.015,Exact numerical values generated from Figure_5.m. transition_flow_end_L_min preserves the source code's factor of 100 in Ua_crit_end.
