Group,Experiment,SourceReplicate,FieldWithinExperiment,SourceSheet,SourceGroupLabel,SourceValueCell,CellRecovery_pct,AssignmentBasis
Control,1,1,1,Cell Viability Data,Control_10X_0001_GFP,C3,75.0836280225557,"Control group in source workbook"
Control,1,1,2,Cell Viability Data,Control_10X_0003_GFP,C4,81.2004205294849,"Control group in source workbook"
Control,1,1,3,Cell Viability Data,Control_10X_0004_GFP,C5,89.6874701328491,"Control group in source workbook"
Control,1,1,4,Cell Viability Data,Control_10X_0005_GFP,C6,101.309375896015,"Control group in source workbook"
Control,1,1,5,Cell Viability Data,Control_10X_0006_GFP,C7,106.432189620568,"Control group in source workbook"
Control,1,1,6,Cell Viability Data,Control_10X_0007_GFP,C8,103.067953741757,"Control group in source workbook"
Control,1,1,7,Cell Viability Data,Control_10X_0008_GFP,C9,105.820510369875,"Control group in source workbook"
Control,1,1,8,Cell Viability Data,Control_10X_0009_GFP,C10,81.2768804358215,"Control group in source workbook"
Control,2,2,1,Cell Viability Data,Control_10X_0001_GFP,F3,95.1530612244898,"Control group in source workbook"
Control,2,2,2,Cell Viability Data,Control_10X_0002_GFP,F4,99.1071428571429,"Control group in source workbook"
Control,2,2,3,Cell Viability Data,Control_10X_0003_GFP,F5,84.5663265306122,"Control group in source workbook"
Control,2,2,4,Cell Viability Data,Control_10X_0004_GFP,F6,88.5204081632653,"Control group in source workbook"
Control,2,2,5,Cell Viability Data,Control_10X_0005_GFP,F7,113.137755102041,"Control group in source workbook"
Control,2,2,6,Cell Viability Data,Control_10X_0006_GFP,F8,115.051020408163,"Control group in source workbook"
Control,2,2,7,Cell Viability Data,Control_10X_0007_GFP,F9,86.4795918367347,"Control group in source workbook"
Control,2,2,8,Cell Viability Data,Control_10X_0008_GFP,F10,71.5561224489796,"Control group in source workbook"
Control,2,2,9,Cell Viability Data,Control_10X_0009_GFP,F11,105.739795918367,"Control group in source workbook"
Control,3,3,1,Cell Viability Data,Group1_10X_0001_GFP,I3,91.077411391289,"Control group in source workbook"
Control,3,3,2,Cell Viability Data,Group1_10X_0002_GFP,I4,110.298007406101,"Control group in source workbook"
Control,3,3,3,Cell Viability Data,Group1_10X_0003_GFP,I5,103.861752777288,"Control group in source workbook"
Control,3,3,4,Cell Viability Data,Group1_10X_0004_GFP,I6,103.861752777288,"Control group in source workbook"
Control,3,3,5,Cell Viability Data,Group1_10X_0005_GFP,I7,90.9892435196614,"Control group in source workbook"
Control,3,3,6,Cell Viability Data,Group1_10X_0006_GFP,I8,98.4835126080056,"Control group in source workbook"
Control,3,3,7,Cell Viability Data,Group1_10X_0007_GFP,I9,100.51137365544,"Control group in source workbook"
Control,3,3,8,Cell Viability Data,Group1_10X_0008_GFP,I10,99.1006877093987,"Control group in source workbook"
Control,3,3,9,Cell Viability Data,Group1_10X_0009_GFP,I11,89.2258860871098,"Control group in source workbook"
Control,3,3,10,Cell Viability Data,Group1_10X_0010_GFP,I12,102.274731087992,"Control group in source workbook"
Control,4,4,1,Cell Viability Data,Group1_Control_10X_0001_GFP,L3,93.2907348242811,"Control group in source workbook"
Control,4,4,2,Cell Viability Data,Group1_Control_10X_0002_GFP,L4,99.6805111821086,"Control group in source workbook"
Control,4,4,3,Cell Viability Data,Group1_Control_10X_0003_GFP,L5,88.1789137380192,"Control group in source workbook"
Control,4,4,4,Cell Viability Data,Group1_Control_10X_0004_GFP,L6,81.7891373801917,"Control group in source workbook"
Control,4,4,5,Cell Viability Data,Group1_Control_10X_0005_GFP,L7,103.149246919215,"Control group in source workbook"
Control,4,4,6,Cell Viability Data,Group1_Control_10X_0006_GFP,L8,92.7430397078959,"Control group in source workbook"
Control,4,4,7,Cell Viability Data,Group1_Control_10X_0007_GFP,L9,92.925604746691,"Control group in source workbook"
Control,4,4,8,Cell Viability Data,Group1_Control_10X_0008_GFP,L10,97.1246006389776,"Control group in source workbook"
Spray control,1,1,1,Cell Viability Data,Spray_10X_0001_GFP,C22,116.219057631654,"Spray control in source workbook"
Spray control,1,1,2,Cell Viability Data,Spray_10X_0002_GFP,C23,106.661569339578,"Spray control in source workbook"
Spray control,1,1,3,Cell Viability Data,Spray_10X_0003_GFP,C24,113.3900410972,"Spray control in source workbook"
Spray control,1,1,4,Cell Viability Data,Spray_10X_0004_GFP,C25,118.13055529007,"Spray control in source workbook"
Spray control,1,1,5,Cell Viability Data,Spray_10X_0005_GFP,C26,121.800630794227,"Spray control in source workbook"
Spray control,1,1,6,Cell Viability Data,Spray_10X_0006_GFP,C27,97.257000860174,"Spray control in source workbook"
Spray control,1,1,7,Cell Viability Data,Spray_10X_0007_GFP,C28,88.5405715377999,"Spray control in source workbook"
Spray control,1,1,8,Cell Viability Data,Spray_10X_0008_GFP,C29,91.1402083532448,"Spray control in source workbook"
