Slice,Mean
1,95.5348
2,95.8550
3,96.5532
4,95.9146
5,96.8327
6,96.6921
7,95.8809
8,96.5796
9,96.9641
10,96.8546
11,97.0755
12,97.1520
13,96.2875
14,98.2761
15,99.6772
16,95.0838
17,96.7336
18,98.9105
19,98.5236
20,98.1132
21,97.6184
22,95.5719
23,97.6241
24,98.3283
25,98.6159
26,96.5851
27,96.4049
28,97.5840
29,96.1789
30,96.0876
31,93.8831
32,96.9783
33,97.2006
34,97.2976
35,96.6619
36,96.6089
37,96.9739
38,97.0423
39,97.3059
40,97.2549
41,97.0710
42,97.1078
43,97.4166
44,97.4199
45,97.8423
46,97.3314
47,97.0423
48,96.9868
49,98.7121
50,98.4517
51,97.6638
52,97.6298
53,95.6054
54,97.9387
55,97.8949
56,98.7202
57,97.9125
58,97.4363
59,97.9544
60,97.5668
61,97.1218
62,96.8405
63,99.3242
64,98.3042
65,99.1156
66,98.8607
67,98.2423
68,98.2558
69,97.1497
70,97.8400
71,99.7670
72,97.8544
73,99.5526
74,98.0683
75,97.3914
76,98.2844
77,99.4102
78,100.1768
79,98.9835
80,99.3468
81,100.1988
82,99.5918
83,98.0048
84,100.8058
85,100.4488
86,101.9778
87,100.4014
88,99.3859
89,103.4868
90,102.0629
91,103.0916
92,104.0319
93,103.3096
94,100.6288
95,98.4737
96,98.5596
97,98.4418
98,98.2915
99,98.1792
100,98.3767
101,97.7709
102,98.9081
103,99.5478
104,99.6265
105,98.9386
106,99.1834
107,99.5438
108,98.8882
109,99.8802
110,99.9997
111,99.7523
112,100.7031
113,100.5816
114,100.6337
115,101.5937
116,100.8996
117,100.1210
118,99.9124
119,101.6274
120,98.1681
121,97.1795
122,97.7190
123,97.6355
124,98.9227
125,98.1348
126,98.1541
127,97.7333
128,97.9994
129,98.1928
130,99.3470
131,98.5729
132,98.2519
133,98.9111
134,99.1625
135,98.8876
136,98.0225
137,98.0011
138,97.3561
139,96.9357
140,98.0447
141,97.8178
142,99.3753
143,98.9440
144,99.3126
145,99.6726
146,99.9276
147,98.9361
148,98.9258
149,98.0791
150,99.4804
151,99.9055
152,98.5002
153,99.1361
154,98.1751
155,98.3873
156,97.7483
157,99.9243
158,98.7896
159,99.1155
160,99.4001
161,97.4436
162,99.7687
163,99.6177
164,98.2543
165,99.5470
166,99.0233
167,98.0209
168,98.0186
169,98.3854
170,98.5686
171,98.3691
172,98.2909
173,100.0926
174,100.1051
175,99.0828
176,97.5416
177,97.5506
178,98.8570
179,100.6804
180,100.2999
181,100.1319
182,98.9856
183,100.0132
184,101.0039
185,99.7496
186,99.9259
187,100.9095
188,99.0194
189,98.4877
190,98.6410
191,99.4494
192,98.6449
193,98.4885
194,98.7308
195,99.8462
196,99.2631
197,99.7259
198,102.6064
199,94.9088
200,100.7573
201,101.7143
202,101.7354
203,98.6423
204,98.9658
205,98.3729
206,100.6343
207,98.7517
208,99.8100
209,99.8760
210,99.7925
211,100.2120
212,100.2700
213,99.3792
214,99.8630
215,99.6747
216,99.6829
217,99.6866
218,99.6899
219,99.6625
220,101.4793
221,102.4393
222,100.0387
223,100.7030
224,100.6581
225,100.6730
226,100.5338
227,100.7411
228,100.3969
229,99.8699
230,100.0009
231,100.2531
232,100.6206
233,99.3574
234,99.9401
235,100.6840
236,100.3918
237,100.7176
238,101.5293
239,99.5080
240,100.8116
241,100.7805
242,100.8972
243,101.7099
244,101.5841
245,101.9488
246,101.0333
247,100.6238
248,100.2713
249,99.0739
250,102.0861
251,101.3139
252,99.9013
253,100.9150
254,101.2965
255,101.3296
256,100.7502
257,101.2709
258,101.1437
259,100.9715
260,100.6992
261,101.3375
262,101.4969
263,100.8945
264,100.8873
265,100.8866
266,100.7274
267,100.9903
268,101.0786
269,101.6018
270,101.4862
271,101.6204
272,101.3522
273,100.2469
274,101.6928
275,101.5494
276,101.7616
277,101.5658
278,101.5406
279,102.4434
280,100.3024
281,101.9230
282,100.9499
283,102.5426
284,102.4832
285,101.8789
286,101.7296
287,100.5365
288,100.4105
289,100.9041
290,100.5822
291,100.7755
292,100.7337
293,100.8639
294,100.9069
295,100.5468
296,100.6146
297,100.8998
298,100.8382
299,100.8047
300,100.8022
301,100.9673
302,100.9636
303,100.9135
304,100.9875
305,100.9279
306,101.0600
307,101.4040
308,101.2615
309,101.3708
310,101.3476
311,101.3420
312,101.3995
313,101.8850
314,101.4272
315,101.2500
316,101.2108
317,101.5957
318,101.0428
319,101.3640
320,101.6421
321,101.6065
322,101.6433
323,102.2787
324,102.3732
325,102.8315
326,102.0246
327,101.8174
328,101.7786
329,102.2529
