Slice,Mean
1,36.922
2,37.012
3,36.661
4,36.699
5,42.241
6,40.951
7,45.931
8,46.101
9,47.807
10,47.811
11,46.358
12,46.889
13,42.741
14,52.928
15,47.397
16,42.075
17,47.197
18,53.521
19,51.730
20,48.043
21,41.920
22,43.731
23,45.006
24,50.704
25,48.413
26,42.572
27,41.536
28,47.400
29,46.243
30,46.186
31,42.296
32,42.760
33,43.487
34,41.548
35,38.235
36,38.100
37,37.875
38,38.241
39,37.667
40,37.630
41,36.467
42,36.452
43,36.012
44,36.018
45,36.466
46,36.371
47,43.075
48,42.899
49,41.358
50,43.993
51,43.215
52,43.231
53,43.404
54,41.213
55,46.967
56,50.954
57,46.831
58,43.536
59,46.815
60,44.649
61,44.361
62,41.207
63,41.768
64,43.455
65,38.931
66,38.637
67,38.414
68,38.397
69,38.369
70,41.529
71,41.758
72,41.747
73,44.071
74,43.507
75,45.051
76,49.074
77,51.156
78,42.284
79,41.868
80,42.223
81,42.281
82,43.313
83,43.287
84,47.567
85,49.339
86,49.425
87,43.856
88,46.955
89,52.681
90,43.772
91,45.553
92,48.268
93,49.561
94,46.986
95,45.374
96,45.314
97,44.241
98,43.011
99,42.632
100,42.571
101,45.813
102,48.608
103,49.404
104,49.520
105,50.006
106,49.990
107,50.411
108,47.278
109,47.814
110,48.224
111,49.213
112,52.902
113,50.504
114,50.654
115,51.145
116,48.205
117,46.976
118,46.066
119,51.382
120,53.462
121,49.828
122,49.755
123,48.600
124,52.913
125,50.958
126,50.761
127,48.837
128,49.598
129,50.903
130,53.290
131,52.754
132,50.966
133,52.356
134,54.853
135,53.011
136,47.494
137,48.507
138,45.810
139,46.829
140,51.197
141,49.995
142,51.592
143,51.173
144,52.137
145,50.596
146,53.920
147,49.369
148,49.235
149,49.117
150,52.201
151,54.630
152,50.634
153,51.365
154,46.844
155,46.383
156,46.832
157,50.098
158,46.093
159,48.591
160,49.754
161,48.929
162,48.811
163,51.184
164,51.152
165,51.188
166,49.113
167,46.557
168,46.635
169,45.188
170,45.264
171,44.757
172,44.677
173,45.948
174,45.966
175,45.434
176,44.084
177,46.541
178,45.548
179,50.377
180,51.122
181,49.427
182,46.312
183,45.572
184,49.512
185,51.580
186,52.726
187,54.768
188,53.654
189,48.519
190,48.059
191,52.664
192,53.463
193,50.530
194,54.423
195,55.303
196,49.954
197,50.372
198,52.434
199,47.659
200,52.408
201,55.499
202,55.975
203,53.376
204,54.537
205,54.498
206,54.877
207,50.771
208,53.943
209,54.291
210,54.240
211,59.643
212,54.690
213,55.315
214,55.482
215,53.820
216,53.839
217,53.821
218,53.867
219,53.863
220,58.936
221,60.278
222,56.841
