conc,R0,R2,R3,note
12,0.004538575,,,raw
12,0,,,raw
12,0.01230839,,,raw
12,0.022046773,,,raw
12,0.002055842,,,raw
12,0.002658446,,,raw
12,0.006372635,,,raw
13,0.056636825,,,raw
13,0.007161399,,,raw
13,0.064774999,,,raw
13,0.025341026,,,raw
13,0.028826486,,,raw
13,0.039303805,,,raw
13,0.00892686,,,raw
13,0.017937163,,,raw
13,0.040060073,,,raw
13.5,0.07184762,,,raw
13.5,0.114198184,,,raw
13.5,0.070426178,,,raw
13.5,0.038084104,,,raw
13.5,0.125581739,,,raw
13.5,0.086703618,,,raw
13.5,0.082528517,,,raw
13.5,0.060533769,,,raw
13.5,0.100455866,,,raw
13.5,0.060022652,,,raw
14,0.087548095,,,raw
14,0.123698734,,,raw
14,0.059268093,,,raw
14,0.106431975,,,raw
14,0.099543901,,,raw
14,0.092420638,,,raw
14,0.119649364,,,raw
14,0.050642279,,,raw
14,0.103644608,,,raw
14.5,0.26828232,,,raw
14.5,0.215350705,,,raw
14.5,0.227128942,,,raw
14.5,0.265110331,,,raw
14.5,0.18216906,,,raw
14.5,0.186113159,,,raw
14.5,0.236171814,,,raw
14.5,0.232899865,,,raw
14.5,0.288203499,,,raw
15,0.31997927,,,raw
15,0.333411572,,,raw
15,0.333076335,,,raw
15,0.216123691,,,raw
15,0.366382882,,,raw
15,0.44815086,,,raw
15,0.439640771,,,raw
15,0.399707637,,,raw
15,0.368862611,,,raw
15,0.306441562,,,raw
15,0.314115363,,,raw
15.5,0.382938427,,,raw
15.5,0.605958241,,,raw
15.5,0.741984932,,,raw
15.5,0.503463142,,,raw
15.5,0.536967597,,,raw
15.5,0.564958277,,,raw
15.5,0.551241588,,,raw
15.5,0.6511575,,,raw
15.5,0.591421268,,,raw
15.5,0.616882324,,,raw
15.5,0.767251822,,,raw
15.5,0.525585409,,,raw
16,0.879694534,,,raw
16,0.69857491,,,raw
16,0.734442524,,,raw
16,0.821687082,,,raw
16,0.789162688,,,raw
