conc,R0,R1,R2,R3,note
12,0.10364936,,,,raw
12,0.13528968,,,,raw
12,0.079818437,,,,raw
12,0.162862286,,,,raw
12,0.149189353,,,,raw
13,0.404337894,,,,raw
13,0.48552478,,,,raw
13,0.358468785,,,,raw
13,0.522295611,,,,raw
13,0.514971277,,,,raw
14,0.959355453,,,,raw
14,0.978904735,,,,raw
14,0.972112704,,,,raw
14,0.985354076,,,,raw
10.5,0.021196661,,,,raw
10.5,0.04330773,,,,raw
10.5,0.039136102,,,,raw
10.5,0.040318315,,,,raw
10.5,0.040770525,,,,raw
11.75,0.175665904,,,,raw
11.75,0.073743399,,,,raw
11.75,0.069510291,,,,raw
11.75,0.057449091,,,,raw
11.75,0.114639177,,,,raw
14.5,0.963869169,,,,raw
14.5,0.926581576,,,,raw
14.5,0.904795306,,,,raw
14.5,0.905265564,,,,raw
14.5,0.949517784,,,,raw
15,1,,,,raw
15,1,,,,raw
15,0.963379612,,,,raw
15,0.999286453,,,,raw
15,0.994667432,,,,raw
16,0.938747544,,,,raw
16,0.964857151,,,,raw
16,0.938943822,,,,raw
16,0.957156543,,,,raw
16,0.932703163,,,,raw
12,,0.137215118,,,raw
12,,0.150225428,,,raw
12,,0.066136023,,,raw
12,,0.089128011,,,raw
12,,0.148752379,,,raw
12,,0.079508007,,,raw
12,,0.098957836,,,raw
12,,0.132503416,,,raw
12,,0.137761622,,,raw
12,,0.057706044,,,raw
12,,0.085968209,,,raw
12,,0.106286827,,,raw
12,,0.113438124,,,raw
12.25,,0.054721754,,,raw
12.25,,0.066041866,,,raw
12.25,,0.0410161,,,raw
12.25,,0.058611638,,,raw
12.25,,0.072273783,,,raw
12.25,,0.063164911,,,raw
12.25,,0.041707203,,,raw
12.25,,0.064055269,,,raw
12.25,,0.076934182,,,raw
12.25,,0.057983432,,,raw
12.25,,0.038610613,,,raw
12.25,,0.042204781,,,raw
12.25,,0.04206598,,,raw
12.25,,0.051333232,,,raw
12.25,,0.069154357,,,raw
12.5,,0.075397647,,,raw
12.5,,0.035811514,,,raw
12.5,,0.036812922,,,raw
12.5,,0.124582111,,,raw
12.5,,0.073364227,,,raw
12.5,,0.048332265,,,raw
12.5,,0.019030364,,,raw
12.5,,0.098589713,,,raw
12.5,,0.124283888,,,raw
12.5,,0.050179893,,,raw
12.5,,0.059815722,,,raw
13,,0.465306912,,,raw
13,,0.508782657,,,raw
13,,0.356197032,,,raw
13,,0.533352198,,,raw
13,,0.344558775,,,raw
13,,0.548896163,,,raw
13,,0.552921122,,,raw
13,,0.661824022,,,raw
13,,0.585246776,,,raw
13,,0.596390209,,,raw
13,,0.643728463,,,raw
13,,0.488696298,,,raw
13.25,,0.136005056,,,raw
13.25,,0.386192172,,,raw
13.25,,0.133960912,,,raw
13.25,,0.227007503,,,raw
13.25,,0.196968852,,,raw
13.25,,0.304282277,,,raw
13.25,,0.268009699,,,raw
13.25,,0.274384985,,,raw
13.25,,0.250816721,,,raw
13.25,,0.1560115,,,raw
13.25,,0.241259882,,,raw
13.25,,0.23605884,,,raw
13.25,,0.247737203,,,raw
13.25,,0.09546787,,,raw
13.25,,0.133538556,,,raw
13.25,,0.149953307,,,raw
13.25,,0.12833715,,,raw
13.25,,0.175985404,,,raw
13.5,,0.608909876,,,raw
13.5,,0.671421971,,,raw
13.5,,0.658420826,,,raw
13.5,,0.559130282,,,raw
13.5,,0.697109725,,,raw
13.5,,0.566475822,,,raw
13.5,,0.643495761,,,raw
13.5,,0.724969934,,,raw
13.5,,0.634203183,,,raw
13.5,,0.596520283,,,raw
13.5,,0.501240781,,,raw
13.5,,0.567854085,,,raw
13.5,,0.536072765,,,raw
13.5,,0.712180375,,,raw
13.5,,0.708321692,,,raw
13.5,,0.591174804,,,raw
13.75,,0.454668536,,,raw
13.75,,0.490128374,,,raw
13.75,,0.455114446,,,raw
13.75,,0.39290073,,,raw
13.75,,0.436384035,,,raw
13.75,,0.439616685,,,raw
13.75,,0.569085621,,,raw
13.75,,0.431120779,,,raw
13.75,,0.415660136,,,raw
13.75,,0.61270118,,,raw
13.75,,0.556619288,,,raw
13.75,,0.539783209,,,raw
13.75,,0.477764406,,,raw
13.75,,0.444694128,,,raw
13.75,,0.59203005,,,raw
13.75,,0.534010148,,,raw
13.75,,0.58285367,,,raw
13.75,,0.484622087,,,raw
13.75,,0.509078564,,,raw
13.75,,0.651346237,,,raw
13.75,,0.549761216,,,raw
13.75,,0.383442116,,,raw
13.75,,0.434280272,,,raw
13.75,,0.304040261,,,raw
13.75,,0.371281003,,,raw
13.75,,0.453108984,,,raw
13.75,,0.344355107,,,raw
13.75,,0.623682166,,,raw
13.75,,0.455041604,,,raw
13.75,,0.486536802,,,raw
12,,,0.162314076,,raw
12,,,0.086998879,,raw
12,,,0.082884433,,raw
12,,,0.13813892,,raw
12,,,0.041130593,,raw
12,,,0.072310901,,raw
12,,,0.067478802,,raw
12,,,0.129032909,,raw
12,,,0.053517401,,raw
12,,,0.123584683,,raw
12,,,0.118036803,,raw
12.25,,,0.121823913,,raw
12.25,,,0.11910618,,raw
